cod_curso;cod_ies;cod_municipio;cod_area;area;modalidade;conceito_enade_faixa;conceito_enade_continuo;conceito_enade_ano;inscritos;participantes;conceito_curso_faixa;conceito_curso_continuo;conceito_curso_ano
1;1;5103403;2;Direito;Presencial;5;4.19842;2018;82;72;4;3.02788;2018
2;1;5103403;13;Ciências Econômicas;Presencial;3;2.17801;2018;29;23;3;2.81448;2018
3;1;5103403;5710;Engenharia Civil;Presencial;4;3.48550;2017;40;40;3;2.38000;2017
6;1;5103403;2001;Pedagogia (Licenciatura);Presencial;3;2.75460;2017;60;55;4;2.96640;2017
7;1;5103403;38;Serviço Social;Presencial;4;3.41404;2018;32;22;4;3.13166;2018
8;1;5103403;22;Ciências Contábeis;Presencial;4;3.52950;2018;75;66;4;3.05995;2018
9;1;5103403;17;Agronomia;Presencial;4;3.40700;2016;54;52;4;3.20220;2016
10;1;5103403;6405;Engenharia Florestal;Presencial;4;3.19020;2017;45;43;3;2.74170;2017
12;1;5103403;12;Medicina;Presencial;3;2.93780;2016;35;33;2;1.86870;2016
13;1;5103403;1;Administração;Presencial;4;3.68468;2018;122;101;4;3.12313;2018
16;1;5103403;5806;Engenharia Elétrica;Presencial;4;3.01660;2017;48;47;3;2.66410;2017
17;1;5103403;23;Enfermagem;Presencial;4;3.02850;2016;29;28;3;2.93290;2016
19;1;5103403;3502;Educação Física (Licenciatura);Presencial;4;3.59330;2017;29;29;4;3.37020;2017
20;1;5103403;28;Nutrição;Presencial;4;3.76240;2016;19;18;4;3.01820;2016
21;1;5107602;22;Ciências Contábeis;Presencial;3;2.88891;2018;54;49;3;2.66589;2018
23;1;5107602;2001;Pedagogia (Licenciatura);Presencial;3;2.51590;2017;48;45;4;3.20310;2017
24;1;5107602;3002;Geografia (Licenciatura);Presencial;3;2.05830;2017;28;25;3;2.86840;2017
25;1;5107602;2402;História (Licenciatura);Presencial;3;2.34450;2017;12;12;4;3.12290;2017
26;1;5103403;702;Matemática (Licenciatura);Presencial;2;1.73670;2017;21;17;3;2.42840;2017
27;1;5103403;1402;Física (Licenciatura);Presencial;1;0.79380;2017;4;3;2;1.71500;2017
29;1;5103403;1602;Ciências Biológicas (Licenciatura);Presencial;3;2.66470;2017;30;27;4;3.00960;2017
32;1;5107602;1602;Ciências Biológicas (Licenciatura);Presencial;3;2.50220;2017;7;6;3;2.90260;2017
34;1;5107602;702;Matemática (Licenciatura);Presencial;4;3.20780;2017;11;9;4;3.02860;2017
36;1;5103403;4004;Ciência Da Computação (Bacharelado);Presencial;3;2.88650;2017;23;22;4;3.12530;2017
37;1;5103403;5;Medicina Veterinária;Presencial;4;3.04920;2016;29;29;3;2.74200;2016
44;1;5103403;21;Arquitetura E Urbanismo;Presencial;5;4.08730;2017;44;43;3;2.89170;2017
18354;1;5106653;702;Matemática (Licenciatura);Presencial;3;2.21640;2017;6;6;4;2.97740;2017
21442;1;5106653;19;Farmácia;Presencial;3;2.66850;2016;15;13;4;2.97350;2016
22118;1;5103403;905;Letras-Português E Inglês (Licenciatura);Presencial;5;3.95710;2017;10;10;4;3.31150;2017
22837;1;5107602;904;Letras-Português (Licenciatura);Presencial;2;1.24680;2017;16;16;3;2.55740;2017
25903;1;5103403;904;Letras-Português (Licenciatura);Presencial;5;4.00320;2017;11;10;4;3.20120;2017
25949;1;5101803;904;Letras-Português (Licenciatura);Presencial;3;2.92180;2017;13;13;4;3.03130;2017
26025;1;5103403;906;Letras-Português E Espanhol (Licenciatura);Presencial;3;2.83800;2017;5;5;3;2.89210;2017
41690;1;5106653;1602;Ciências Biológicas (Licenciatura);Presencial;3;2.36220;2017;21;20;3;2.79130;2017
62906;1;5107602;51;Zootecnia;Presencial;4;2.98090;2016;20;20;4;3.33370;2016
62936;1;5103403;803;Comunicação Social - Jornalismo;Presencial;4;3.38632;2018;15;15;3;2.80866;2018
62940;1;5103403;804;Comunicação Social - Publicidade E Propaganda;Presencial;4;3.88489;2018;22;17;4;3.30737;2018
84854;1;5107602;18;Psicologia;Presencial;3;2.58858;2018;28;26;4;3.02817;2018
94331;1;5103403;4301;Música (Licenciatura);Presencial;2;1.10830;2017;11;2;2;1.62140;2017
100763;1;5107909;5;Medicina Veterinária;Presencial;4;2.96620;2016;31;30;4;2.99870;2016
100768;1;5107909;6405;Engenharia Florestal;Presencial;3;2.25550;2017;39;39;3;2.85260;2017
100770;1;5107909;23;Enfermagem;Presencial;4;3.60280;2016;12;12;4;3.41740;2016
100772;1;5107909;51;Zootecnia;Presencial;3;2.56920;2016;31;27;3;2.82530;2016
100775;1;5107909;702;Matemática (Licenciatura);Presencial;3;2.75260;2017;6;6;4;3.14930;2017
100776;1;5107909;1502;Química (Licenciatura);Presencial;3;1.98380;2017;3;3;3;2.59560;2017
100777;1;5107909;1402;Física (Licenciatura);Presencial;2;1.86770;2017;13;10;3;2.52680;2017
100778;1;5107909;17;Agronomia;Presencial;3;2.57550;2016;81;76;3;2.74320;2016
100800;1;5107602;6307;Engenharia Ambiental;Presencial;4;3.24790;2017;15;14;4;3.44400;2017
100802;1;5107602;5902;Engenharia Mecânica;Presencial;4;3.19830;2017;28;27;3;2.79560;2017
100804;1;5107602;23;Enfermagem;Presencial;3;2.47050;2016;25;22;3;2.20290;2016
100920;1;5106653;6002;Engenharia De Alimentos;Presencial;4;3.42910;2017;9;9;3;2.70950;2017
100928;1;5106653;23;Enfermagem;Presencial;4;3.17280;2016;15;11;4;3.06710;2016
101054;1;5107602;6407;Letras - Inglês;Presencial;3;2.87030;2017;6;6;3;2.65030;2017
101184;1;5106653;1402;Física (Licenciatura);Presencial;2;1.16460;2017;3;3;3;2.17440;2017
106050;1;5106653;1502;Química (Licenciatura);Presencial;2;1.25310;2017;11;11;2;1.85610;2017
106052;1;5106653;3502;Educação Física (Licenciatura);Presencial;3;1.96920;2017;14;12;3;2.74500;2017
112770;1;5103403;6307;Engenharia Ambiental;Presencial;4;3.81930;2017;27;25;4;3.03980;2017
112846;1;5101803;4004;Ciência Da Computação (Bacharelado);Presencial;3;2.81380;2017;14;12;4;3.11460;2017
116560;1;5103403;3001;Geografia (Bacharelado);Presencial;1;0.75600;2017;29;29;3;1.95010;2017
116648;1;5101803;55;Biomedicina;Presencial;3;2.18150;2016;20;18;3;2.82450;2016
116662;1;5101803;17;Agronomia;Presencial;3;2.59390;2016;20;17;3;2.60490;2016
116690;1;5101803;3002;Geografia (Licenciatura);Presencial;4;3.54560;2017;21;20;4;3.23610;2017
116708;1;5101803;803;Comunicação Social - Jornalismo;Presencial;3;2.59800;2018;25;23;4;3.06075;2018
116720;1;5107909;19;Farmácia;Presencial;5;4.04120;2016;19;19;4;3.31470;2016
116736;1;5107909;6307;Engenharia Ambiental;Presencial;4;3.04840;2017;20;19;4;3.12820;2017
117004;1;5103403;18;Psicologia;Presencial;4;3.82837;2018;30;29;4;3.19880;2018
118002;1;5103403;4006;Sistemas De Informação;Presencial;4;3.52670;2017;25;23;4;2.94740;2017
123013;1;5103403;1401;Física (Bacharelado);Presencial;2;1.22090;2017;17;17;3;2.25590;2017
123052;1;5107602;13;Ciências Econômicas;Presencial;2;1.32377;2018;31;23;3;2.21790;2018
123055;1;5101803;5710;Engenharia Civil;Presencial;4;3.51910;2017;38;37;3;2.50430;2017
123427;1;5101803;2;Direito;Presencial;4;3.65190;2018;50;47;4;2.96337;2018
123620;1;5103403;51;Zootecnia;Presencial;4;2.94820;2016;16;14;4;3.31010;2016
1103426;1;5103403;3002;Geografia (Licenciatura);Presencial;3;2.41990;2017;34;25;3;2.79100;2017
1103701;1;5103403;5402;Ciências Sociais (Licenciatura);Presencial;3;2.26090;2017;3;3;3;2.13410;2017
1103708;1;5103403;3202;Filosofia (Licenciatura);Presencial;2;1.15250;2017;19;16;3;2.07210;2017
1103709;1;5103403;3201;Filosofia (Bacharelado);Presencial;1;0.79420;2017;18;15;3;1.99060;2017
1103710;1;5103403;2402;História (Licenciatura);Presencial;3;2.57210;2017;51;41;3;2.89420;2017
1103711;1;5103403;1502;Química (Licenciatura);Presencial;4;3.79720;2017;8;7;4;3.41430;2017
1103712;1;5103403;1501;Química (Bacharelado);Presencial;5;4.11900;2017;8;7;4;3.73200;2017
1103742;1;5103403;5401;Ciências Sociais (Bacharelado);Presencial;3;2.04040;2017;10;8;4;3.11360;2017
1127343;1;5107602;1;Administração;Presencial;3;2.79340;2018;29;23;3;2.38611;2018
1128077;1;5107602;4006;Sistemas De Informação;Presencial;2;1.80270;2017;27;19;3;2.06120;2017
1168551;1;5103403;3501;Educação Física (Bacharelado);Presencial;4;3.64990;2016;5;4;4;3.69430;2016
1188880;1;5107602;1601;Ciências Biológicas (Bacharelado);Presencial;1;0.37390;2017;2;2;2;1.74390;2017
1202871;1;5103403;905;Letras-Português E Inglês (Licenciatura);A Distância;2;1.66290;2017;79;72;3;2.59310;2017
1202899;1;5103403;906;Letras-Português E Espanhol (Licenciatura);A Distância;2;1.31790;2017;155;140;3;2.61340;2017
122;2;5300108;13;Ciências Econômicas;Presencial;5;4.40995;2018;113;92;4;3.49524;2018
126;2;5300108;38;Serviço Social;Presencial;5;4.37480;2016;79;63;4;3.42152;2018
127;2;5300108;4004;Ciência Da Computação (Bacharelado);Presencial;4;3.69470;2017;79;58;4;3.25320;2017
128;2;5300108;81;Relações Internacionais;Presencial;4;3.76014;2018;158;134;4;3.17092;2018
132;2;5300108;21;Arquitetura E Urbanismo;Presencial;5;3.94900;2017;141;128;4;3.26110;2017
133;2;5300108;4301;Música (Licenciatura);Presencial;4;3.08270;2017;23;18;3;2.68110;2017
135;2;5300108;17;Agronomia;Presencial;4;3.31080;2016;113;86;4;3.53950;2016
136;2;5300108;5710;Engenharia Civil;Presencial;5;4.68980;2017;138;132;4;3.65350;2017
137;2;5300108;5806;Engenharia Elétrica;Presencial;4;3.19910;2017;123;115;4;3.06320;2017
138;2;5300108;5902;Engenharia Mecânica;Presencial;5;4.04480;2017;114;109;4;3.46830;2017
139;2;5300108;6405;Engenharia Florestal;Presencial;4;3.30450;2017;91;78;4;3.22040;2017
140;2;5300108;12;Medicina;Presencial;4;2.99030;2016;89;85;4;3.25320;2016
141;2;5300108;6;Odontologia;Presencial;4;3.70480;2016;54;54;4;3.49110;2016
142;2;5300108;3502;Educação Física (Licenciatura);Presencial;4;3.48760;2017;109;85;4;3.04710;2017
143;2;5300108;23;Enfermagem;Presencial;5;4.00630;2016;55;51;4;3.24640;2016
144;2;5300108;28;Nutrição;Presencial;5;4.30650;2016;60;49;4;3.38810;2016
145;2;5300108;1;Administração;Presencial;5;4.60724;2018;274;189;4;3.40583;2018
148;2;5300108;2;Direito;Presencial;5;5.00000;2018;158;141;4;3.47188;2018
149;2;5300108;22;Ciências Contábeis;Presencial;5;4.40839;2018;97;85;4;3.39784;2018
150;2;5300108;2001;Pedagogia (Licenciatura);Presencial;4;3.46270;2017;73;55;3;2.92930;2017
151;2;5300108;2501;Artes Visuais (Licenciatura);Presencial;4;3.22200;2017;26;25;3;2.29520;2017
158;2;5300108;1402;Física (Licenciatura);Presencial;4;3.15190;2017;39;30;4;3.12010;2017
159;2;5300108;1502;Química (Licenciatura);Presencial;4;3.02520;2017;30;22;4;3.00510;2017
160;2;5300108;1602;Ciências Biológicas (Licenciatura);Presencial;4;3.92890;2017;66;55;4;3.41590;2017
161;2;5300108;702;Matemática (Licenciatura);Presencial;3;2.46980;2017;17;15;3;2.45570;2017
162;2;5300108;904;Letras-Português (Licenciatura);Presencial;3;2.58070;2017;54;30;3;2.16700;2017
163;2;5300108;2001;Pedagogia (Licenciatura);Presencial;4;3.34210;2017;57;42;3;2.80070;2017
165;2;5300108;2;Direito;Presencial;5;4.78175;2018;138;123;4;3.50042;2018
167;2;5300108;22;Ciências Contábeis;Presencial;5;3.95064;2018;174;139;4;3.14985;2018
18030;2;5300108;19;Farmácia;Presencial;4;3.14110;2016;57;54;3;2.88140;2016
18031;2;5300108;5;Medicina Veterinária;Presencial;4;3.31010;2016;97;94;4;3.23440;2016
18032;2;5300108;4005;Ciência Da Computação (Licenciatura);Presencial;5;4.77460;2017;58;34;4;3.67370;2017
18033;2;5300108;5806;Engenharia Elétrica;Presencial;-1;-1.00000;2017;61;46;-1;-1.00000;2017
22122;2;5300108;701;Matemática (Bacharelado);Presencial;3;2.62090;2017;23;15;4;3.01780;2017
22844;2;5300108;18;Psicologia;Presencial;5;4.46976;2018;13;5;4;3.80826;2018
26030;2;5300108;1401;Física (Bacharelado);Presencial;4;3.30330;2017;32;28;4;3.41300;2017
26033;2;5300108;18;Psicologia;Presencial;5;4.84887;2018;124;112;4;3.58966;2018
26978;2;5300108;26;Design;Presencial;5;4.77555;2018;37;30;4;3.62640;2018
27858;2;5300108;3201;Filosofia (Bacharelado);Presencial;5;4.32340;2017;34;19;4;3.90810;2017
29692;2;5300108;5401;Ciências Sociais (Bacharelado);Presencial;4;3.75220;2017;74;50;4;3.49260;2017
29693;2;5300108;6407;Letras - Inglês;Presencial;3;2.78700;2017;28;12;3;2.52880;2017
31376;2;5300108;903;Letras-Português (Bacharelado);Presencial;3;2.77750;2017;40;17;3;2.84550;2017
31381;2;5300108;804;Comunicação Social - Publicidade E Propaganda;Presencial;5;4.45654;2018;84;54;4;3.28254;2018
33204;2;5300108;5401;Ciências Sociais (Bacharelado);Presencial;2;1.09570;2017;37;26;3;2.55510;2017
33205;2;5300108;2401;História (Bacharelado);Presencial;4;3.67450;2017;34;22;4;3.69000;2017
34642;2;5300108;803;Comunicação Social - Jornalismo;Presencial;5;4.89361;2018;84;64;4;3.64137;2018
34644;2;5300108;904;Letras-Português (Licenciatura);Presencial;4;3.87480;2017;19;9;4;3.17580;2017
34983;2;5300108;5401;Ciências Sociais (Bacharelado);Presencial;3;2.49770;2017;76;56;4;3.22240;2017
34992;2;5300108;26;Design;Presencial;5;4.46715;2018;68;61;4;3.38439;2018
44362;2;5300108;3202;Filosofia (Licenciatura);Presencial;3;2.74470;2017;24;10;4;3.39530;2017
44365;2;5300108;1402;Física (Licenciatura);Presencial;3;2.85970;2017;10;7;4;3.27580;2017
44366;2;5300108;3002;Geografia (Licenciatura);Presencial;5;4.17940;2017;27;20;4;3.52280;2017
44369;2;5300108;2402;História (Licenciatura);Presencial;5;4.27220;2017;58;48;4;3.35240;2017
44372;2;5300108;702;Matemática (Licenciatura);Presencial;4;3.20980;2017;23;20;3;2.91510;2017
44382;2;5300108;1601;Ciências Biológicas (Bacharelado);Presencial;5;4.24860;2017;65;55;4;3.42040;2017
44418;2;5300108;5402;Ciências Sociais (Licenciatura);Presencial;4;3.19590;2017;86;66;3;2.70440;2017
52159;2;5300108;2501;Artes Visuais (Licenciatura);Presencial;5;4.25020;2017;20;8;5;4.32260;2017
85124;2;5300108;5814;Engenharia De Controle E Automação;Presencial;4;3.55180;2017;48;44;4;3.10620;2017
101550;2;5300108;1602;Ciências Biológicas (Licenciatura);A Distância;3;2.06490;2017;17;16;3;2.59580;2017
112158;2;5300108;2501;Artes Visuais (Licenciatura);A Distância;1;0.28800;2017;37;26;3;2.56020;2017
112160;2;5300108;3502;Educação Física (Licenciatura);A Distância;-1;-1.00000;2017;5;1;-1;-1.00000;2017
112162;2;5300108;904;Letras-Português (Licenciatura);A Distância;1;0.93040;2017;5;5;3;2.40840;2017
112164;2;5300108;4301;Música (Licenciatura);A Distância;2;1.19160;2017;31;31;3;2.41840;2017
112170;2;5300108;2001;Pedagogia (Licenciatura);A Distância;3;2.20090;2017;8;7;5;4.10880;2017
112794;2;5300108;19;Farmácia;Presencial;5;4.10980;2016;77;77;4;3.78380;2016
112796;2;5300108;36;Fisioterapia;Presencial;5;4.19280;2016;57;55;4;3.61940;2016
