cod_ies;cod_municipio;nome_ies;sigla_ies;municipio;regiao;estado;sigla_estado;organizacao;rede;administracao;endereco;numero_endereco;complemento_endereco;bairro;cep;telefones;emails;site;latitude;longitude;local_coordenada
1;5101803;Universidade Federal De Mato Grosso;UFMT;Barra Do Garças;Centro Oeste;Mato Grosso;MT;Universidade;Pública;Federal;;;;;;;;;-15.877477645874;-52.3133163452148;INSTITUICAO
1;5103403;Universidade Federal De Mato Grosso;UFMT;Cuiabá;Centro Oeste;Mato Grosso;MT;Universidade;Pública;Federal;Avenida Fernando Correa Da Costa;2367;Cidade Universitária;Boa Esperança;78060900;(65)3615-8302;ufmt@ufmt.br;www.ufmt.br;-15.6104707717896;-56.0651588439941;INSTITUICAO
1;5106653;Universidade Federal De Mato Grosso;UFMT;Pontal Do Araguaia;Centro Oeste;Mato Grosso;MT;Universidade;Pública;Federal;;;;;;;;;-15.9179563522339;-52.2769165039062;INSTITUICAO
1;5107602;Universidade Federal De Mato Grosso;UFMT;Rondonópolis;Centro Oeste;Mato Grosso;MT;Universidade;Pública;Federal;;;;;;;;;-16.4669246673584;-54.5766639709473;INSTITUICAO
1;5107909;Universidade Federal De Mato Grosso;UFMT;Sinop;Centro Oeste;Mato Grosso;MT;Universidade;Pública;Federal;;;;;;;;;-11.8620109558105;-55.4812469482422;INSTITUICAO
2;5300108;Universidade De Brasília;UNB;Brasília;Centro Oeste;Distrito Federal;DF;Universidade;Pública;Federal;Campus Universitário Darcy Ribeiro;S/N;;Asa Norte;70910900;(61)3307-1750,(61)3307-2600;unb@unb.br;www.unb.br;-15.7631568908691;-47.8706321716309;INSTITUICAO
3;2800308;Universidade Federal De Sergipe;UFS;Aracaju;Nordeste;Sergipe;SE;Universidade;Pública;Federal;;;;;;;;;-10.9472465515137;-37.0730819702148;MUNICIPIO
3;2802908;Universidade Federal De Sergipe;UFS;Itabaiana;Nordeste;Sergipe;SE;Universidade;Pública;Federal;;;;;;;;;-10.6817760467529;-37.4357261657715;INSTITUICAO
3;2803500;Universidade Federal De Sergipe;UFS;Lagarto;Nordeste;Sergipe;SE;Universidade;Pública;Federal;;;;;;;;;-10.9256343841553;-37.6690711975098;INSTITUICAO
3;2803609;Universidade Federal De Sergipe;UFS;Laranjeiras;Nordeste;Sergipe;SE;Universidade;Pública;Federal;;;;;;;;;-10.8030090332031;-37.1666488647461;INSTITUICAO
3;2806701;Universidade Federal De Sergipe;UFS;São Cristóvão;Nordeste;Sergipe;SE;Universidade;Pública;Federal;Avenida Marechal Rondon;S/N;;Jardim Rosa Elze;49100000;(79)2105-6408;gabinete@ufs.br;www.ufs.br;-10.9264469146729;-37.1025543212891;INSTITUICAO
4;1300607;Universidade Federal Do Amazonas;UFAM;Benjamin Constant;Norte;Amazonas;AM;Universidade;Pública;Federal;;;;;;;;;-4.38943147659302;-70.0305786132812;INSTITUICAO
4;1301209;Universidade Federal Do Amazonas;UFAM;Coari;Norte;Amazonas;AM;Universidade;Pública;Federal;;;;;;;;;-4.09310960769653;-63.1511497497559;INSTITUICAO
4;1301704;Universidade Federal Do Amazonas;UFAM;Humaitá;Norte;Amazonas;AM;Universidade;Pública;Federal;;;;;;;;;-7.51411628723145;-63.028377532959;INSTITUICAO
